"","PD","SR","PE","PSV","MPD","MNTD","PSC"
"28268",980.850494586264,60,3.73876787088629,0.57669396867152,79.7234864215768,20.8463562913274,0.150795812897771
"28439",888.866404850892,52,2.78598480371615,0.594851084828784,82.2335674733229,21.2850848870735,0.153969433952332
"28440",972.051723474237,58,3.74884913670093,0.577702566035627,79.8629172161237,21.3758558307002,0.154626041660672
"28441",980.850494586264,60,3.73876787088629,0.57669396867152,79.7234864215768,20.8463562913274,0.150795812897771
"28613",881.679287828206,51,2.73742320221152,0.599709806067381,82.9052481527374,21.4341584481463,0.155047783977122
"28614",897.314259690049,54,2.93147487122726,0.584268898874569,80.7706620086189,20.6658509471795,0.149490095499355
"28615",976.586221601432,58,3.7835861207748,0.583075168753287,80.6056380404746,21.8490205327983,0.158048762393748
"28616",975.876413587634,59,3.72695295164964,0.581521183632565,80.3908116014941,21.031071448854,0.15213198272738
"28617",957.849147402379,58,3.68715766205746,0.582611730253181,80.5415712477256,21.1135670347931,0.15272872916922
"28786",856.967137352595,51,1.91895585725802,0.59494317398788,82.2462980882133,20.2013961666989,0.146130379527985
"28787",881.679287828206,51,2.73742320221152,0.599709806067381,82.9052481527374,21.4341584481463,0.155047783977122
"28788",886.382414335453,52,2.74421962780002,0.594082933341565,82.1273764639005,21.2028525744222,0.15337459194448
"28789",874.907006338585,53,2.72091136123446,0.588993125743293,81.4237498803175,20.3567097566643,0.14725386790771
"28790",915.972514660939,55,2.89863734506626,0.58770775586377,81.2460574234797,20.8627168265481,0.150914159728918
"28791",923.335948875841,56,3.15700780251494,0.581270869775381,80.3562076443202,20.8460210703995,0.150793388017777
"28792",930.962763536972,57,3.20187141816866,0.576638618316765,79.715834662593,20.7479089344672,0.150083676493793
"28793",950.573545438418,58,3.82293701458138,0.579726092383618,80.142654102742,20.9414284306773,0.151483534067689
"28960",825.307425928885,47,1.8234069896193,0.605986862676945,83.7730027410728,20.6500964769323,0.149376132746608
"28961",839.755639457862,48,1.87769823244745,0.600333662086932,82.9914914283837,20.9750096137973,0.151726449507485
"28962",841.197084672381,48,1.85492432078013,0.603170029168358,83.3835972675059,21.124376159227,0.152806918886547
