"","PD","SR","PE","PSV","MPD","MNTD","PSC"
"32533",2069.0406358731,113,245.787809373725,0.744796440583985,102.962354634156,26.0255995702753,0.188260787089409
"32706",2121.91421863785,120,258.092660124544,0.739522409104015,102.23326052199,24.985258428608,0.180735295058268
"32707",2329.38654665896,139,252.212361608054,0.744402135629303,102.907845020031,23.5969360786948,0.170692619283489
"32881",2465.33212231957,150,295.707209608632,0.739747050684084,102.264315485161,23.3692655487229,0.169045724154183
"32882",2048.38035350272,117,195.833904136467,0.728340596103981,100.687461250098,25.9643204691832,0.187817513850974
"33055",1978.31127737708,111,165.728653340555,0.730284214832948,100.956151525643,25.5501199535733,0.184821321011266
"33056",1986.46002539133,113,168.546053753405,0.727105718763713,100.516748996776,25.1081379706855,0.181624166004208
"33230",1794.47335879021,97,128.94700422072,0.714011081723877,98.7065165772386,26.862791796383,0.194316765435137
"33231",2162.11347923731,126,174.192055184756,0.727948006060051,100.633188709137,25.050432960046,0.181206746582509
"33404",1939.51572224746,107,146.342111198336,0.711118465506263,98.3066347295421,26.9353520739627,0.194841643063093
"33405",2162.33223881034,127,173.203546795541,0.729098917600038,100.792293339175,24.7686456386671,0.179168388051273
"33579",1808.14619722585,101,140.515990364064,0.69744957577798,96.4170163117162,25.9862115890577,0.187975867146417
"33580",2263.23654463323,133,206.370341136817,0.73060296262618,101.000215945849,25.0546129277972,0.181236983120066
"33581",1851.40689655462,105,155.818996744454,0.743149637042405,102.73469676548,24.8041069032082,0.179424903393241
"33753",1762.25562060919,99,166.797781961323,0.698499200307046,96.562118794899,25.7950713096822,0.18659322005917
"33754",2064.44708343923,121,199.133209008251,0.730409118170622,100.973418447245,24.6280606513861,0.178151441629462
