"","PD","SR","PE","PSV","MPD","MNTD","PSC"
"18838",121.574242363631,3,0.151936623253265,0.782731644132868,81.0494949090873,58.5520136397984,0.565463288265736
"18839",167.349128154796,4,0.208736046881746,0.852745011046392,88.2991673450499,66.8014531254315,0.645131857934271
"18840",167.349128154796,4,0.208736046881746,0.852745011046392,88.2991673450499,66.8014531254315,0.645131857934271
"18841",167.349128154796,4,0.208736046881746,0.852745011046392,88.2991673450499,66.8014531254315,0.645131857934271
"19010",103.546976178376,2,0.129598003445019,1,103.546976178376,103.546976178376,1
"19011",121.574242363631,3,0.151936623253265,0.782731644132868,81.0494949090873,58.5520136397984,0.565463288265736
"19012",167.349128154796,4,0.208736046881746,0.852745011046392,88.2991673450499,66.8014531254315,0.645131857934271
"19013",167.349128154796,4,0.208736046881746,0.852745011046392,88.2991673450499,66.8014531254315,0.645131857934271
"19014",175.373630345454,5,0.228072196738754,0.803973769702899,83.2490527794653,41.5508099364055,0.401274971707794
"19015",175.373630345454,5,0.228072196738754,0.803973769702899,83.2490527794653,41.5508099364055,0.401274971707794
"19185",131.478344816694,3,0.605141560090419,0.846497243210669,87.6522298777963,71.7574835772164,0.692994486421339
"19186",215.03977416949,6,0.713167435948748,0.830749310424251,86.0215790567024,49.7597805175816,0.480552714855356
"19187",195.13290772183,6,0.256960029160355,0.828092417394034,85.746465817394,30.5406971681924,0.294945331050336
"19188",175.373630345454,5,0.228072196738754,0.803973769702899,83.2490527794653,41.5508099364055,0.401274971707794
"19189",239.945527693332,7,0.314265169788875,0.853369732525437,88.3638553651587,38.9813461360227,0.376460497203425
"19190",245.742579773036,8,0.322067393314722,0.82195555189966,85.1110119522382,32.5003873625582,0.313870945942169
"19191",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19192",241.72346283403,8,0.334492317946581,0.819183092558471,84.8239321708805,30.4908288930547,0.294463730553845
"19193",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19358",131.478344816694,3,0.605141560090419,0.846497243210669,87.6522298777963,71.7574835772164,0.692994486421339
"19359",197.012507984236,5,0.690828816140502,0.868941542739328,89.9762692264307,56.4624711282214,0.545283630793387
"19360",195.13290772183,6,0.256960029160355,0.828092417394034,85.746465817394,30.5406971681924,0.294945331050336
"19361",239.945527693332,7,0.314265169788875,0.853369732525437,88.3638553651587,38.9813461360227,0.376460497203425
"19362",245.742579773036,8,0.322067393314722,0.82195555189966,85.1110119522382,32.5003873625582,0.313870945942169
"19363",245.742579773036,8,0.322067393314722,0.82195555189966,85.1110119522382,32.5003873625582,0.313870945942169
"19364",245.742579773036,8,0.322067393314722,0.82195555189966,85.1110119522382,32.5003873625582,0.313870945942169
"19365",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19366",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19367",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19369",332.658236832108,11,0.927368751958064,0.845067585126719,87.5041931062342,38.6135604281983,0.372908624214002
"19533",177.25323060786,4,0.6619409837189,0.884627810585293,91.6005348294044,76.705555578495,0.740780256550973
"19534",228.00794142444,8,0.748982469353395,0.791840588301255,81.9926985339015,30.3540720202053,0.293143007555484
"19535",250.686244837328,9,0.338546276862361,0.800049573291979,82.8427141071845,29.3031949751463,0.282994212449689
"19536",245.742579773036,8,0.322067393314722,0.82195555189966,85.1110119522382,32.5003873625582,0.313870945942169
"19537",245.742579773036,8,0.322067393314722,0.82195555189966,85.1110119522382,32.5003873625582,0.313870945942169
"19538",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19539",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19540",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19541",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19542",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19543",332.658236832108,11,0.927368751958064,0.845067585126719,87.5041931062342,38.6135604281983,0.372908624214002
"19544",434.041789670251,15,2.3915531908304,0.829103478917606,85.8511581808902,40.7620255447244,0.393657323942568
"19545",508.47226138722,18,3.75706279274744,0.830326341084178,85.9777818605216,39.6405817202554,0.382827033519242
"19702",222.065850579362,5,0.717061335270926,0.892300741869555,92.3950436623142,79.2894924513969,0.76573450406517
"19703",222.065850579362,5,0.717061335270926,0.892300741869555,92.3950436623142,79.2894924513969,0.76573450406517
"19704",222.065850579362,5,0.717061335270926,0.892300741869555,92.3950436623142,79.2894924513969,0.76573450406517
"19706",203.304998983773,6,0.703615753384153,0.79246641934485,82.0575014460643,43.9361311597774,0.424311098028496
"19707",272.820561395942,9,0.806287609981914,0.817238990433907,84.6226262745,36.9397573449607,0.356743950507315
"19708",278.617613475646,10,0.814089833507761,0.798627200496641,82.6954317052289,31.9591492052953,0.308643964167921
"19709",250.686244837328,9,0.338546276862361,0.800049573291979,82.8427141071845,29.3031949751463,0.282994212449689
"19710",245.742579773036,8,0.322067393314722,0.82195555189966,85.1110119522382,32.5003873625582,0.313870945942169
"19711",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19712",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19713",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19714",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19715",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19716",332.658236832108,11,0.927368751958064,0.845067585126719,87.5041931062342,38.6135604281983,0.372908624214002
"19717",424.767143257239,14,2.11876947280062,0.845115158803382,87.5091192165984,42.3486493103458,0.408980067533729
"19718",508.47226138722,18,3.75706279274744,0.830326341084178,85.9777818605216,39.6405817202554,0.382827033519242
"19719",488.712984010844,17,3.72817496032584,0.821745037573672,85.0892138303399,39.6477597771674,0.382896355262638
"19877",222.065850579362,5,0.717061335270926,0.892300741869555,92.3950436623142,79.2894924513969,0.76573450406517
"19878",240.093116764617,6,0.741584744155665,0.8373588761192,86.7059795982667,68.7822982868945,0.664261775915175
"19880",248.117618955275,7,0.760920894012673,0.821520281258018,85.0659409934769,50.4631467002384,0.487345440327562
"19881",278.617613475646,10,0.814089833507761,0.798627200496641,82.6954317052289,31.9591492052953,0.308643964167921
"19882",278.617613475646,10,0.814089833507761,0.798627200496641,82.6954317052289,31.9591492052953,0.308643964167921
"19883",250.686244837328,9,0.338546276862361,0.800049573291979,82.8427141071845,29.3031949751463,0.282994212449689
"19884",250.686244837328,9,0.338546276862361,0.800049573291979,82.8427141071845,29.3031949751463,0.282994212449689
"19885",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19886",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19887",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19888",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19889",261.482740210405,9,0.363380150368183,0.82501176998334,85.4274740933449,31.4939095441322,0.30415093425692
"19890",305.771852966701,10,0.72055041453186,0.842684296392874,87.2574107644847,37.0976396979369,0.35826869182573
