"","SR","WE","PD","PSV","PSC","PE","Size_FRic","Size_FEve","diethab_groups","diethab_FRic","diethab_FEve","deithab_FDiv","diethab_FDis"
"12748",6,0.140371533228676,211.106972032107,0.829927675672686,0.671440491230241,4.69391017554137,3,0.25,5,0.619893824672559,0.75,0.803997317982416,0.395053158086124
"12922",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"12923",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13096",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13097",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13271",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13272",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13273",6,0.140371533228676,211.106972032107,0.829927675672686,0.671440491230241,4.69391017554137,3,0.25,5,0.619893824672559,0.75,0.803997317982416,0.395053158086124
"13446",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13447",6,0.140371533228676,211.106972032107,0.829927675672686,0.671440491230241,4.69391017554137,3,0.25,5,0.619893824672559,0.75,0.803997317982416,0.395053158086124
"13621",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13622",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
