"","PD","SR","PE","PSV","MPD","MNTD","PSC"
"29904",422.185060808143,15,22.1237093497688,0.646466542661929,89.3690058084654,30.2913264575356,0.219117678556428
"30077",470.631403765032,19,30.6082759423583,0.647341632459028,89.4899802131698,30.2527977665792,0.218838974441835
"30078",472.841024841439,19,33.4083054120902,0.673526077320479,93.1097774501293,26.1573622412973,0.189213915722954
"30251",475.391337377447,20,27.1233194837078,0.659213886606514,91.1312276402948,24.5147957918144,0.177332120193467
"30252",487.136620817415,20,22.0663188585202,0.704327583076855,97.3678476907274,25.9605275617678,0.187790077182956
"30253",447.936314482173,15,19.7748881560458,0.687662726951904,95.0640600612927,39.2069947562842,0.283610745347002
"30254",325.682726086473,11,10.2744102673803,0.662275368320955,91.5544538385042,31.2361585957148,0.225952289283481
"30255",326.470039792959,10,10.128896365884,0.689145089298074,95.2689852049508,36.5235980728105,0.264199919850369
"30259",351.379620063271,9,12.849674818698,0.74599038545312,103.127408289533,50.0133290577037,0.361780279756503
"30260",279.99167000665,7,6.74685215134953,0.757891093722235,104.772589279175,43.9062944865848,0.317603962817614
"30426",470.588364024406,19,25.2620024453224,0.703433163049109,97.2442010309549,25.9077077893782,0.187407995997963
"30427",485.079675946516,19,25.4339081623098,0.715730972159342,98.9442781444251,28.7485055810639,0.207957410307536
"30428",424.873076309228,16,14.0000120130492,0.722562912757861,99.8887411579603,26.6679512697331,0.192907351953423
"30429",425.812001566609,16,14.1810382912999,0.699677315777668,96.7249841582069,25.0988130308586,0.181556712399283
"30430",406.023417439631,14,12.7449901548485,0.733603712865437,101.415046486742,33.1358844055336,0.239694292623109
"30431",367.725687829791,11,9.76930399811389,0.747071769820266,103.276901324997,39.3383918071997,0.284561229202706
"30432",308.166876490555,9,7.72981871378264,0.743417273670628,102.771695461938,38.0478176272006,0.275225632139214
"30433",288.552414523123,8,7.08774698045022,0.761329763172413,105.247958768215,37.9001793387427,0.274157664413261
"30434",279.99167000665,7,6.74685215134953,0.757891093722235,104.772589279175,43.9062944865848,0.317603962817614
"30435",279.99167000665,7,6.74685215134953,0.757891093722235,104.772589279175,43.9062944865848,0.317603962817614
"30436",230.741756594817,5,5.95583086476739,0.732494727798642,101.261737867756,65.0281314206403,0.470392513768849
"30602",349.334809348697,11,10.8372417528094,0.748546098668709,103.48071589965,29.7271272491907,0.215036443588087
"30603",357.895553865169,12,11.1781365819101,0.75529128640433,104.413186000023,26.9046477537455,0.19461953792098
"30604",343.1573640878,12,9.56492670222121,0.75672385299995,104.611227265821,23.1886777506619,0.167739410310773
"30605",381.434351074785,13,10.3588203902149,0.763283116393912,105.517994762157,27.2937005370703,0.197433820182193
"30606",379.298358807054,12,9.77513069470391,0.755532946613166,104.446593657159,37.9157090082232,0.27427000102982
"30607",398.56700559403,13,10.9085805057025,0.754654882713712,104.325208105778,37.5128290232619,0.271355697254932
"30608",379.298358807054,12,10.1838367169398,0.755532946613166,104.446593657159,37.9157090082232,0.27427000102982
"30609",340.212766542036,9,9.46073014005502,0.745554251897219,103.067116194399,44.4761281583423,0.321725955675663
"30610",230.741756594817,5,5.95583086476739,0.732494727798642,101.261737867756,65.0281314206403,0.470392513768849
"30778",234.883394799134,6,6.5474958555326,0.761655720678025,105.293019875465,40.7719827957069,0.294931363697856
"30779",222.109705148609,6,5.48631337917492,0.669756470700586,92.5886584537438,43.1164182647461,0.311890253174728
"30780",222.109705148609,6,5.48631337917492,0.669756470700586,92.5886584537438,43.1164182647461,0.311890253174728
"30781",302.516652343058,9,7.73540501357051,0.726181062737414,100.388922443765,39.4660390815403,0.285484588384973
"30782",378.218330150827,12,11.0418397440524,0.741430579138538,102.497050289356,38.287021142604,0.276955953162666
"30783",394.524890655747,13,11.3551083976085,0.744633019584609,102.939762943359,37.3416593689281,0.270117511223379
"30784",359.779693182188,11,10.87252275528,0.761793827561013,105.312112085213,37.2467446842055,0.269430929029414
"30785",298.821805188926,7,7.67977837932054,0.723058896430911,99.9573070694694,59.6228430467554,0.43129240232031
"30786",222.29414814862,4,4.96694240022792,0.81304162257023,112.396723875007,95.7249987251855,0.692443743917385
"30958",364.000042907202,11,10.9849757532513,0.763947259145435,105.609807367298,38.0602772146965,0.275315760773617
"30959",331.765158095839,8,9.14996286924178,0.773601428173532,106.944421660553,51.3613796980587,0.371531642982711
"30960",228.292750446643,4,5.14517676398326,0.841969591152669,116.395792073688,98.7242998741969,0.714139720354214
"31133",337.694670280374,10,9.57766179039714,0.747100165642433,103.280826828064,41.893458468347,0.303043756738514
"31134",333.354275488915,9,9.34921995926775,0.771696878886105,106.681132433504,48.0028965794471,0.347237460109843
"31307",348.748387731333,10,10.0251711483552,0.759893806484866,105.049448848395,46.2306135314486,0.334417336574918
"31308",357.309132247806,11,10.2197335237296,0.748219633508579,103.435584613084,41.6512280562122,0.301291540121089
"31482",312.827365258981,8,9.08936754301317,0.766489373951375,105.961235102324,54.3006179167391,0.392793143567852
"31483",332.441827226413,9,9.57221113432963,0.769736263493168,106.410092500458,48.4787574699633,0.350679684199695
"31484",274.550378271995,7,8.15578249455011,0.737936610927134,102.014036173739,53.2638238526144,0.385293309950774
"31656",240.131044042281,5,6.43097482748971,0.822308633663918,113.677816574481,60.8016197017743,0.439819292172636
"31657",274.550378271995,7,8.15578249455011,0.737936610927134,102.014036173739,53.2638238526144,0.385293309950774
