"","PD","SR","PE","PSV","MPD","MNTD","PSC"
"32181",2009.94951993958,112,407.778407546583,0.749909140789519,103.669145943856,25.6014642876824,0.18519272935196
"32354",2009.94951993958,112,407.778407546583,0.749909140789519,103.669145943856,25.6014642876824,0.18519272935196
"32355",2044.1572492118,116,419.180983970657,0.745843795662574,103.107143383341,25.040809093545,0.181137130638506
"32529",2000.74347252179,115,404.709725073988,0.744914752379658,102.978710325993,24.5035330562714,0.177250649199787
"32530",2009.40629676858,116,413.372549320779,0.743060854444889,102.722423257186,24.4247327211345,0.176680633009547
