"","PD","SR","PE","PSV","MPD","MNTD","PSC"
"26250",846.999596643617,30,86.1143212329806,0.675820655876706,93.4269852107585,38.6969309844479,0.279921108653238
"26251",867.562101764028,32,89.2809737359361,0.684622318777049,94.6437471171458,36.9425953120295,0.267230810640441
"26252",936.062624883304,37,111.492175730317,0.690725053906561,95.4874031074329,34.2113760659902,0.247474052161748
"26253",875.029770308564,33,91.14789087207,0.677270990137253,93.6274827189843,36.0653776583512,0.26088530127055
"26424",838.859142793538,30,85.2920882645556,0.675132534768523,93.3318577830329,38.0271876555544,0.275076401582998
"26425",936.062624883304,37,111.492175730317,0.690725053906561,95.4874031074329,34.2113760659902,0.247474052161748
"26426",936.062624883304,37,111.492175730317,0.690725053906561,95.4874031074329,34.2113760659902,0.247474052161748
"26427",856.623971045279,31,87.7183836332576,0.691729666327383,95.6262830143526,37.5515542165837,0.271635822804211
"26600",820.441849186437,30,82.989926563668,0.666624691375741,92.155714153919,37.1938946493529,0.269048628935532
"26601",790.42513389886,28,79.0425133898861,0.681074489858397,94.1532871748061,37.8426714668601,0.2737416710297
