"","PD","SR","PE","PSV","MPD","MNTD","PSC"
"31310",138.242275370469,2,17.2802844213086,1,138.242275370469,138.242275370469,1
"31311",146.803019886941,3,18.9924333246031,0.707950441804824,97.8686799246276,57.4950844787863,0.415900883609648
"31312",176.519262357455,3,26.849531168055,0.851255579546411,117.679508238303,97.1167411061371,0.702511159092822
"31485",146.803019886941,3,18.9924333246031,0.707950441804824,97.8686799246276,57.4950844787863,0.415900883609648
"31486",146.803019886941,3,18.9924333246031,0.707950441804824,97.8686799246276,57.4950844787863,0.415900883609648
"31487",185.080006873927,4,28.5616800713495,0.779603010675617,107.774094081465,46.8377315034581,0.338809032026852
"31660",176.519262357455,3,26.849531168055,0.851255579546411,117.679508238303,97.1167411061371,0.702511159092822
"31661",230.854892665092,5,74.3365658625149,0.800210106083585,110.622865839439,55.7801395192326,0.403495525299696
