"","PD","SR","PE","PSV","MPD","MNTD","PSC"
"33190",639.224620597697,24,11.0031564127704,0.628367967166962,86.867017551077,35.2032173046369,0.254648711548602
"33198",603.785944136941,26,11.7884561014923,0.576559386462998,79.7048814708464,30.1789313077501,0.218304648320313
"33363",633.163213701817,24,11.030907922214,0.617317882080026,85.3394286456216,35.9254440676724,0.259873066841511
"33364",639.224620597697,24,11.0031564127704,0.628367967166962,86.867017551077,35.2032173046369,0.254648711548602
"33365",639.224620597697,24,11.0031564127704,0.628367967166962,86.867017551077,35.2032173046369,0.254648711548602
"33367",559.334062803532,22,8.07993708022972,0.586074558643279,81.0202805235902,31.8587642633816,0.230456017726884
"33368",583.584126750364,24,9.10805832523355,0.5866817034502,81.1042136031783,30.5665094840258,0.221108263750087
"33369",583.584126750364,24,9.10805832523355,0.5866817034502,81.1042136031783,30.5665094840258,0.221108263750087
"33370",602.734625753368,26,11.3492726716712,0.579920449545852,80.1695224790838,29.3362066280088,0.212208649990693
"33371",603.785944136941,26,11.7884561014923,0.576559386462998,79.7048814708464,30.1789313077501,0.218304648320313
"33372",631.403029537037,26,13.6282880632783,0.593517878734239,82.0492620292753,32.893028942222,0.237937554587217
"33373",596.112605756458,24,13.2382386252673,0.588403765733881,81.342275411604,34.4827250204484,0.249436902915839
"33374",574.055331049364,23,14.2333783426239,0.584059515538275,80.7417163797848,34.7717943055404,0.251527936822199
"33535",558.864433062549,22,8.18387760601042,0.591653735368381,81.7915586087623,33.1338847291673,0.239679827609704
"33536",633.163213701817,24,11.030907922214,0.617317882080026,85.3394286456216,35.9254440676724,0.259873066841511
"33537",622.393793592886,23,10.8725340970826,0.610013437006336,84.3296455383161,37.2377622381615,0.269365952913968
"33538",625.501226522519,23,11.0704120073576,0.610263960521149,84.3642784790377,37.7228099619386,0.272874631590424
"33539",636.27064663145,24,11.228785832489,0.617547528635272,85.3711755079498,36.3902814696254,0.263235550573114
"33540",652.705264435599,25,11.6983463411789,0.619747167174184,85.6752585445615,34.8735401194836,0.252263933200084
"33541",652.705264435599,25,11.6983463411789,0.619747167174184,85.6752585445615,34.8735401194836,0.252263933200084
"33542",570.103482912463,23,8.23831090536106,0.594583236909413,82.1965395674959,30.7232582582964,0.222242133789845
"33543",583.584126750364,24,9.10805832523355,0.5866817034502,81.1042136031783,30.5665094840258,0.221108263750087
"33544",583.584126750364,24,9.10805832523355,0.5866817034502,81.1042136031783,30.5665094840258,0.221108263750087
"33545",628.102560234854,27,12.5280980113262,0.576267862503192,79.6645805353177,29.7394409924905,0.215125517232649
"33546",606.66541084902,25,12.3782498408198,0.589859244908369,81.5434841644396,32.9923454127152,0.238655977878695
"33547",567.854406144727,23,11.7498402610912,0.592949193434073,81.9706456794106,33.6912921941657,0.243711933298826
"33548",574.055331049364,23,14.2333783426239,0.584059515538275,80.7417163797848,34.7717943055404,0.251527936822199
"33708",548.095012953618,21,8.02550378087908,0.582736678013096,80.5588443103587,34.4382541854885,0.249115215249453
"33709",564.042076016583,23,8.26606241480461,0.582528598632755,80.5300789433627,31.4768861849421,0.227693634965055
"33710",633.163213701817,24,11.030907922214,0.617317882080026,85.3394286456216,35.9254440676724,0.259873066841511
"33711",636.27064663145,24,11.228785832489,0.617547528635272,85.3711755079498,36.3902814696254,0.263235550573114
"33712",636.27064663145,24,11.228785832489,0.617547528635272,85.3711755079498,36.3902814696254,0.263235550573114
"33713",636.27064663145,24,11.228785832489,0.617547528635272,85.3711755079498,36.3902814696254,0.263235550573114
"33714",583.584126750364,24,8.93350083376956,0.5866817034502,81.1042136031783,30.5665094840258,0.221108263750087
"33715",583.584126750364,24,8.93350083376956,0.5866817034502,81.1042136031783,30.5665094840258,0.221108263750087
"33716",570.103482912463,23,8.23831090536106,0.594583236909413,82.1965395674959,30.7232582582964,0.222242133789845
"33717",553.668865108314,22,7.7687503966711,0.591328340895449,81.7465753364312,32.1892360102154,0.23284654367814
"33718",535.641598923059,21,7.4286132988361,0.594727575480453,82.2164932599801,32.9484221314455,0.238338251038972
"33719",580.160032407549,24,10.8486529849287,0.582279046902843,80.495580344397,31.7202309975408,0.229453912795744
"33720",591.581759566632,23,10.85507283114,0.598706256390886,82.7665151620114,34.7591898241402,0.25143676007206
"33721",615.862359541908,23,13.5914468629551,0.610772450923657,84.4345733492844,37.5951918269461,0.271951483192797
"33722",574.055331049364,23,14.2333783426239,0.584059515538275,80.7417163797848,34.7717943055404,0.251527936822199
"33881",548.095012953618,21,8.02550378087908,0.582736678013096,80.5588443103587,34.4382541854885,0.249115215249453
"33882",548.095012953618,21,8.02550378087908,0.582736678013096,80.5588443103587,34.4382541854885,0.249115215249453
"33883",627.985570747784,23,10.9487231134198,0.627162106205913,86.7003165880411,37.70381475705,0.272737226409282
"33884",633.163213701817,24,11.030907922214,0.617317882080026,85.3394286456216,35.9254440676724,0.259873066841511
"33885",652.241798270645,25,11.9863139865301,0.609759027449644,84.2944753823231,36.0147130704717,0.260518809994682
"33886",655.349231200278,25,12.1841918968051,0.609970302280471,84.323682495665,36.4609569763467,0.263746794377022
"33887",602.662711319192,25,9.88890689808568,0.580401476635829,80.236020758517,30.870135870171,0.223304599026916
"33888",583.584126750364,24,8.93350083376956,0.5866817034502,81.1042136031783,30.5665094840258,0.221108263750087
"33889",583.584126750364,24,8.93350083376956,0.5866817034502,81.1042136031783,30.5665094840258,0.221108263750087
"33890",570.103482912463,23,8.23831090536106,0.594583236909413,82.1965395674959,30.7232582582964,0.222242133789845
"33891",570.103482912463,23,8.23831090536106,0.594583236909413,82.1965395674959,30.7232582582964,0.222242133789845
"33895",637.089755795564,25,15.0688994524116,0.596271230902192,82.4298916978693,35.2116625378227,0.254709801639626
"33896",595.262487337911,23,13.4704341652105,0.598301077492566,82.7105023091756,36.0135068053671,0.260510084262258
"33897",574.055331049364,23,14.2333783426239,0.584059515538275,80.7417163797848,34.7717943055404,0.251527936822199
"34054",558.864433062549,22,8.18387760601042,0.591653735368381,81.7915586087623,33.1338847291673,0.239679827609704
"34055",558.864433062549,22,8.18387760601042,0.591653735368381,81.7915586087623,33.1338847291673,0.239679827609704
"34056",627.985570747784,23,10.9487231134198,0.627162106205913,86.7003165880411,37.70381475705,0.272737226409282
"34057",633.163213701817,24,11.030907922214,0.617317882080026,85.3394286456216,35.9254440676724,0.259873066841511
"34058",633.163213701817,24,11.030907922214,0.617317882080026,85.3394286456216,35.9254440676724,0.259873066841511
"34059",641.868587362376,24,11.4890019683966,0.619089865514435,85.5843916675131,36.856776530536,0.266610025274579
"34060",602.662711319192,25,9.88890689808568,0.580401476635829,80.236020758517,30.870135870171,0.223304599026916
"34061",602.662711319192,25,9.88890689808568,0.580401476635829,80.236020758517,30.870135870171,0.223304599026916
"34062",602.662711319192,25,9.88890689808568,0.580401476635829,80.236020758517,30.870135870171,0.223304599026916
"34063",602.662711319192,25,9.88890689808568,0.580401476635829,80.236020758517,30.870135870171,0.223304599026916
"34068",637.089755795564,25,15.0688994524116,0.596271230902192,82.4298916978693,35.2116625378227,0.254709801639626
"34069",637.089755795564,25,15.0688994524116,0.596271230902192,82.4298916978693,35.2116625378227,0.254709801639626
"34070",574.472952389725,23,14.3615955338448,0.584325394497246,80.7784720920461,34.4764261681515,0.249391339051384
"34229",627.985570747784,23,10.9487231134198,0.627162106205913,86.7003165880411,37.70381475705,0.272737226409282
"34230",627.985570747784,23,10.9487231134198,0.627162106205913,86.7003165880411,37.70381475705,0.272737226409282
"34231",627.985570747784,23,10.9487231134198,0.627162106205913,86.7003165880411,37.70381475705,0.272737226409282
"34243",649.933582597637,26,16.5968946651307,0.588655203831414,81.3770347863219,34.7963685760791,0.251705699163515
"34244",558.67398482566,21,12.5234920607229,0.603833911408324,83.4753738589369,36.9842967454181,0.267532465349732
